context, response
can I inform of an error with a sign-up?,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
how do i inform of problems with an signup,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
need help notifying of a signup error,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
would it be possible to report issues with sign-up,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
I try to notify of a sign-up error,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
can you help me notifying of a problem with bloody signup ?,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
i cannot notify of an error with a sign-up,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
i need assistance to inform of signup issues,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
registration issue,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
help me report problems with a signup,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
help me nltifying of issues with a sign-up,"intent: registration_problems, variable name: unspecified, variable value: unspecified"
